,loss,accuracy,auc,val_loss,val_accuracy,val_auc
0,0.7373,0.4958,0.4586,0.6958,0.6167,0.4761
1,0.691,0.6042,0.5094,0.6912,0.6417,0.5341
2,0.6765,0.625,0.5181,0.7072,0.5583,0.491
3,0.6973,0.5917,0.4974,0.6852,0.575,0.5251
4,0.6983,0.6313,0.529,0.662,0.7167,0.5535
5,0.6751,0.6438,0.5561,0.6682,0.6333,0.5619
6,0.6606,0.6396,0.5184,0.649,0.6667,0.5536
7,0.6829,0.6333,0.5207,0.7091,0.5917,0.5076
8,0.67,0.6479,0.5322,0.61,0.7333,0.6461
9,0.6438,0.6729,0.605,0.8709,0.6917,0.5874
10,0.6424,0.6625,0.6128,0.6328,0.6667,0.6629
11,0.6545,0.6417,0.6077,0.6606,0.6583,0.6016
12,0.6112,0.6542,0.6857,0.6209,0.7333,0.621
13,0.6095,0.6708,0.6291,0.7279,0.6667,0.6539
14,0.6444,0.6562,0.6256,0.6895,0.6167,0.6661
15,0.623,0.675,0.6761,0.568,0.725,0.7006
16,0.6313,0.65,0.6216,0.6381,0.675,0.6116
17,0.6397,0.6542,0.5977,0.5885,0.6583,0.645
18,0.5876,0.6771,0.7098,1.0587,0.6333,0.7061
19,0.6354,0.6771,0.6196,0.8006,0.675,0.6069
